batiment_groupe_id;geom_groupe
bdnb-bg-P4ED-CQB6-YF3L;MULTIPOLYGON (((922445.2 6301896.5,922443.8 6301900.9,922434.3 6301897.8,922433.8 6301899.7,922431.9 6301899.3,922431.0 6301898.1,922431.8 6301895.8,922430.2 6301892.8,922430.1 6301891.4,922427.1 6301891.0,922426.4 6301891.8,922425.1 6301891.7,922422.9 6301895.5,922421.6 6301896.2,922414.4 6301895.5,922415.7 6301877.0,922420.3 6301877.4,922420.3 6301875.6,922425.2 6301876.1,922424.8 6301882.5,922427.4 6301882.7,922427.2 6301885.8,922430.1 6301886.1,922431.3 6301882.0,922435.5 6301883.3,922435.8 6301882.4,922446.8 6301885.9,922444.4 6301893.6,922443.6 6301896.0,922445.2 6301896.5)))
bdnb-bg-PHC6-YR28-RM5E;MULTIPOLYGON (((933233.2 6316672.9,933229.9 6316674.7,933232.0 6316679.9,933235.4 6316678.3,933233.2 6316672.9)),((933241.1 6316682.9,933245.6 6316694.4,933253.0 6316711.4,933262.9 6316735.6,933260.3 6316736.9,933264.3 6316746.7,933266.4 6316752.0,933263.7 6316753.2,933266.9 6316761.7,933269.4 6316767.6,933275.8 6316767.6,933275.9 6316769.8,933293.8 6316770.9,933294.1 6316768.7,933288.8 6316754.8,933294.3 6316752.8,933284.3 6316728.5,933278.0 6316713.1,933279.4 6316712.5,933268.1 6316685.3,933267.2 6316685.7,933262.6 6316674.3,933241.1 6316682.9)))
bdnb-bg-PJ8Q-CU4R-1G9L;MULTIPOLYGON (((965461.7 6377598.7,965482.5 6377574.6,965495.7 6377586.3,965474.7 6377610.1,965461.7 6377598.7)))
bdnb-bg-PNEW-M51E-DDJ2;MULTIPOLYGON (((914341.6 6322802.5,914339.0 6322798.7,914343.2 6322795.4,914345.4 6322797.3,914346.7 6322799.0,914341.6 6322802.5)))
bdnb-bg-PRMF-PGL6-JE25;MULTIPOLYGON (((958435.9 6337112.9,958441.6 6337133.4,958444.0 6337142.4,958435.9 6337144.7,958435.7 6337143.9,958424.5 6337103.8,958432.6 6337101.3,958432.8 6337102.0,958434.5 6337101.5,958435.9 6337106.5,958434.3 6337107.1,958435.9 6337112.9)))
bdnb-bg-PUPR-4S3C-7PXS;MULTIPOLYGON (((951548.6 6373889.9,951547.1 6373895.6,951537.1 6373895.1,951537.0 6373897.6,951540.2 6373899.4,951547.3 6373900.6,951547.3 6373901.8,951557.7 6373902.5,951558.9 6373891.0,951559.2 6373888.0,951555.9 6373887.7,951554.2 6373887.5,951552.9 6373890.4,951548.6 6373889.9)))
bdnb-bg-QGKD-VEHX-QQQJ;MULTIPOLYGON (((958008.1 6336815.2,958007.2 6336816.4,957978.0 6336795.3,957966.2 6336811.5,957995.2 6336833.0,957996.0 6336831.8,958011.3 6336842.8,958004.6 6336851.9,958025.8 6336867.6,958052.5 6336830.6,958030.9 6336815.2,958023.2 6336826.1,958015.9 6336820.8,958008.1 6336815.2)))
bdnb-bg-RC7E-VV6Y-48BT;MULTIPOLYGON (((925171.3 6307797.3,925168.3 6307794.4,925167.1 6307795.7,925161.7 6307790.8,925163.1 6307789.3,925153.2 6307779.9,925160.4 6307772.2,925167.1 6307778.5,925164.1 6307781.7,925167.5 6307784.8,925169.2 6307783.0,925177.4 6307790.7,925171.3 6307797.3)))
bdnb-bg-S431-DAFJ-2LFP;MULTIPOLYGON (((958942.8 6337810.3,958939.2 6337807.1,958931.4 6337808.9,958932.8 6337814.0,958943.3 6337811.2,958942.8 6337810.3)))
bdnb-bg-S6VC-8TLF-5ZUM;MULTIPOLYGON (((924905.2 6321443.5,924889.4 6321447.6,924882.1 6321449.3,924880.1 6321440.9,924882.9 6321440.2,924877.3 6321417.3,924897.5 6321412.3,924905.2 6321443.5)))
bdnb-bg-S93P-6JN3-G389;MULTIPOLYGON (((908365.7 6309714.8,908359.4 6309719.8,908363.2 6309725.2,908363.4 6309725.5,908366.4 6309729.9,908372.9 6309724.6,908369.8 6309720.5,908377.3 6309714.6,908385.5 6309725.0,908383.2 6309726.8,908391.9 6309738.1,908394.1 6309736.5,908406.0 6309751.6,908404.3 6309753.1,908403.1 6309754.1,908405.9 6309757.8,908422.0 6309745.6,908421.3 6309744.4,908418.9 6309741.2,908416.9 6309738.6,908412.2 6309741.9,908409.7 6309743.9,908400.3 6309731.7,908401.0 6309731.2,908392.1 6309719.7,908391.4 6309720.0,908379.3 6309704.3,908373.1 6309709.1,908365.7 6309714.8)),((908373.7 6309681.3,908370.4 6309677.0,908366.5 6309681.3,908370.5 6309684.8,908373.7 6309681.3)),((908382.7 6309764.5,908377.4 6309757.6,908370.8 6309763.0,908380.6 6309775.5,908391.6 6309766.4,908388.7 6309762.5,908387.3 6309760.9,908382.7 6309764.5)))
bdnb-bg-SC6G-EC5N-G2MJ;MULTIPOLYGON (((948927.2 6306995.2,948950.3 6307001.2,948947.9 6307010.9,948924.6 6307005.0,948927.2 6306995.2)))
bdnb-bg-SFYQ-F3SP-9JBW;MULTIPOLYGON (((924745.6 6306572.3,924741.9 6306569.3,924731.7 6306561.0,924749.8 6306538.6,924764.0 6306549.6,924745.6 6306572.3)))
bdnb-bg-SNP1-TQ8X-D57H;MULTIPOLYGON (((911205.3 6329043.2,911197.9 6329036.4,911211.8 6329021.2,911219.2 6329028.0,911205.3 6329043.2)))
bdnb-bg-SRP9-2QFA-E8RX;MULTIPOLYGON (((956287.4 6327295.9,956290.5 6327293.8,956295.0 6327299.9,956302.9 6327294.1,956291.6 6327279.0,956282.0 6327285.5,956280.5 6327286.6,956287.1 6327295.4,956287.4 6327295.9)))
bdnb-bg-ST8D-A245-SWG9;MULTIPOLYGON (((910655.1 6330191.9,910653.5 6330187.6,910661.7 6330186.3,910665.0 6330185.7,910672.7 6330184.0,910672.7 6330188.2,910672.2 6330189.6,910668.1 6330188.4,910666.9 6330191.6,910663.7 6330190.8,910662.7 6330189.4,910657.6 6330193.2,910656.5 6330193.5,910656.3 6330193.1,910655.6 6330193.2,910655.1 6330191.9)))
bdnb-bg-T371-6X6K-SXVZ;MULTIPOLYGON (((923398.8 6303074.2,923406.7 6303085.7,923418.1 6303077.8,923410.3 6303066.4,923398.8 6303074.2)))
bdnb-bg-T7JD-9TLR-F1LU;MULTIPOLYGON (((931382.2 6298719.3,931406.9 6298735.7,931414 6298725,931389.8 6298708.6,931382.2 6298719.3)),((931400.9 6298704.0,931420.0 6298716.8,931427.3 6298706.1,931408.2 6298693.5,931400.9 6298704.0)))
bdnb-bg-TDFE-L425-ZJAR;MULTIPOLYGON (((937143.3 6330523.6,937136.2 6330516.7,937137.5 6330514.2,937139.5 6330515.8,937142.1 6330516.7,937144.8 6330516.8,937147.4 6330516.1,937150.4 6330514.2,937152.2 6330509.7,937152.2 6330509.0,937151.7 6330506.2,937150.4 6330503.7,937148.4 6330501.7,937143.1 6330500.1,937140.6 6330500.6,937138.6 6330501.8,937137.1 6330503.7,937134.8 6330502.1,937135.0 6330501.7,937138.8 6330497.3,937143.2 6330493.4,937142.8 6330471.9,937105.8 6330509.3,937143.7 6330546.6,937143.3 6330523.6)))
bdnb-bg-TL7Q-8HAZ-BXU3;MULTIPOLYGON (((958835.9 6338400.2,958835.7 6338396.9,958835.1 6338396.9,958834.6 6338381.6,958836.2 6338381.6,958841.8 6338381.5,958843.4 6338381.5,958843.8 6338396.6,958843.1 6338396.6,958843.2 6338399.9,958835.9 6338400.2)))
bdnb-bg-TN9L-RHL2-LXFD;MULTIPOLYGON (((938690.3 6334298.6,938698.8 6334306.8,938703.9 6334311.5,938717.500553298 6334296.90053601,938723.9 6334303.1,938728.1 6334298.8,938721.6 6334292.5,938721.3 6334292.2,938725.0 6334288.1,938711.9 6334275.9,938708.3 6334279.5,938697.1 6334291.0,938690.3 6334298.6)),((938701.6 6334273.3,938698.6 6334276.8,938697.8 6334276.0,938693.5 6334280.4,938700.5 6334287.5,938708.0 6334279.8,938701.6 6334273.3)))
bdnb-bg-V227-BX7Y-FPX3;MULTIPOLYGON (((930974.5 6314399.2,930972.1 6314400.5,930975.0 6314405.9,930977.5 6314404.5,930987.9 6314398.4,930984.5 6314392.9,930974.4 6314399.0,930974.5 6314399.2)))
bdnb-bg-V415-SRQX-K5JL;MULTIPOLYGON (((939643.9 6334397.2,939655.9 6334411.1,939653.5 6334413.1,939660.2 6334420.8,939667.3 6334414.6,939669.1 6334414.3,939671.6 6334413.9,939677.5 6334412.0,939682.5 6334409.4,939686.5 6334406.6,939690.6 6334402.6,939694.8 6334395.8,939696.8 6334391.8,939697.1 6334389.9,939697.2 6334389.0,939695.2 6334386.5,939694.5 6334385.8,939663.6 6334413.0,939647.2 6334394.3,939643.9 6334397.2)))
bdnb-bg-VMYP-5QNE-6TD5;MULTIPOLYGON (((963819.7 6358174.0,963830.0 6358168.8,963830.5 6358170.5,963834.4 6358169.4,963835.9 6358173.9,963832.5 6358174.8,963833.2 6358176.9,963821.8 6358180.7,963819.7 6358174.0)))
bdnb-bg-WB4G-467P-C97K;MULTIPOLYGON (((995978.8 6381850.3,995981.0 6381855.6,995984.1 6381854.3,995986.3 6381859.2,995988.6 6381864.5,995990.7 6381869.4,995988.5 6381870.2,995989.7 6381873.0,995991.5 6381872.2,995997.0 6381884.6,996000.8 6381882.9,995995.2 6381870.4,995991.8 6381871.9,995990.7 6381869.6,995994.1 6381868.2,995993.6 6381866.9,995996.0 6381865.8,995996.6 6381867.1,996004.7 6381863.7,996000.5 6381853.3,995993.9 6381856.0,995990.4 6381843.5,995989.8 6381843.8,995986.8 6381845.6,995981.6 6381848.4,995981.8 6381849.0,995978.8 6381850.3)))
bdnb-bg-WFEV-QELW-DB8V;MULTIPOLYGON (((937517.9 6329750.5,937508.5 6329757.3,937511.8 6329761.5,937511.0 6329761.9,937523.1 6329778.4,937533.5 6329771.3,937522.1 6329755.1,937517.9 6329750.5)))
bdnb-bg-WV3A-GEJJ-B6UG;MULTIPOLYGON (((973503.6 6305360.1,973491.9 6305362.0,973492.1 6305365.6,973504.4 6305363.7,973505.4 6305370.2,973503.0 6305370.7,973503.9 6305375.3,973511.5 6305373.9,973509.8 6305361.1,973507.1 6305361.4,973506.9 6305358.1,973520.5 6305356.6,973520.6 6305361.2,973523.7 6305360.8,973531.5 6305359.8,973531.1 6305352.4,973525.6 6305352.8,973525.1 6305344.1,973502.4 6305347.1,973502.5 6305348.8,973503.4 6305358.5,973503.6 6305360.1)))
bdnb-bg-XBGU-S465-148W;MULTIPOLYGON (((996501.9 6332167.9,996503.877063278 6332172.8085709,996508.102036464 6332172.16550357,996512.817412546 6332168.11946844,996511.986887682 6332166.23694541,996510.07532659 6332164.3962886,996501.9 6332167.9)))
bdnb-bg-XQ7E-9UWZ-KXSA;MULTIPOLYGON (((970431.5 6322952.9,970421.5 6322951.1,970420.5 6322954.4,970419.3 6322961.3,970429.7 6322962.7,970435.5 6322964.1,970436.5 6322961.2,970438.6 6322961.8,970439.3 6322957.7,970431.0 6322956.1,970431.5 6322952.9)),((970453.7 6322965.6,970454.7 6322961.8,970463.5 6322933.7,970456.2 6322930.8,970456.3 6322930.4,970447.5 6322926.6,970446.0 6322925.9,970432.7 6322920.4,970432.1 6322921.1,970431.1 6322924.2,970432.6 6322924.8,970431.9 6322926.6,970430.3 6322930.6,970438.6 6322933.9,970440.1 6322930.0,970446.4 6322932.5,970446.1 6322933.3,970453.4 6322936.2,970453.8 6322935.3,970454.6 6322935.6,970445.8 6322963.0,970453.7 6322965.6)))
bdnb-bg-Y6F4-85TE-CT9E;MULTIPOLYGON (((933972.0 6360280.9,933972.0 6360276.7,933976.6 6360276.7,933976.6 6360280.9,933972.0 6360280.9)))
bdnb-bg-YMZ7-9CDM-E2SM;MULTIPOLYGON (((935577.6 6347552.2,935576.6 6347560.0,935582.0 6347560.3,935582.2 6347560.3,935590.8 6347560.9,935591.0 6347558.7,935593.4 6347558.9,935593.8 6347554.2,935593.1 6347554.1,935591.7 6347553.9,935582.9 6347552.6,935577.6 6347552.2)))
bdnb-bg-Z5VJ-B894-ZRW4;MULTIPOLYGON (((923050.6 6331425.3,923049.5 6331435.2,923066.3 6331437.2,923065.9 6331440.1,923070.5 6331440.6,923070.4 6331437.7,923078.5 6331438.6,923078.4 6331440.6,923083.3 6331441.1,923083.5 6331439.3,923119.7 6331443.7,923120.7 6331432.8,923111.6 6331431.5,923112.035132944 6331427.22119272,923111.077693415 6331427.10407405,923056.095048782 6331420.37017986,923055.5 6331425.8,923050.6 6331425.3)))
bdnb-bg-ZNZQ-CRLN-X8A6;MULTIPOLYGON (((923908.0 6307429.1,923914.4 6307412.0,923904.4 6307408.4,923897.5 6307427.1,923908.0 6307429.1)))
bdnb-bg-ZWWR-TMVP-GPPK;MULTIPOLYGON (((998533.2 6386800.1,998532.1 6386802.4,998536.4 6386804.4,998537.5 6386801.8,998538.8 6386802.4,998540.5 6386798.7,998539.2 6386798.2,998540.8 6386794.6,998536.8 6386792.8,998535.3 6386796.1,998533.7 6386795.5,998531.9 6386799.5,998533.2 6386800.1)))
bdnb-bg-ZZ6C-46AC-S2FF;MULTIPOLYGON (((923274.8 6308415.7,923276.2 6308415.9,923282.0 6308417.1,923284.1 6308416.8,923292.7 6308421.6,923295.9 6308415.9,923298.3 6308411.6,923281.6 6308402.3,923280.7 6308403.9,923279.4 6308406.6,923279.1 6308407.1,923274.8 6308415.7)))
bdnb-bg-1817-GR1X-N5HG;MULTIPOLYGON (((987601.3 6372061.7,987601.3 6372049.8,987604.9 6372049.7,987605.4 6372049.7,987605.5 6372046.1,987602.4 6372041.3,987594.7 6372041.3,987594.7 6372047.0,987593.3 6372048.4,987589.9 6372048.4,987589.9 6372054.8,987579.0 6372054.8,987568.6 6372054.8,987568.6 6372048.4,987565.5 6372048.4,987563.7 6372046.6,987559.2 6372046.6,987557.5 6372048.5,987557.4 6372062.4,987561.6 6372062.3,987561.6 6372067.2,987575.1 6372067.1,987575.9 6372066.0,987578.8 6372066.0,987582.7 6372065.9,987583.4 6372066.9,987597.0 6372066.5,987597.0 6372061.8,987601.3 6372061.7)))
bdnb-bg-1AP7-RQZJ-Y1N6;MULTIPOLYGON (((938063.0 6344452.1,938069.9 6344453.1,938070.7 6344453.3,938068.8 6344466.0,938061.0 6344464.3,938063.0 6344452.1)))
bdnb-bg-1NXN-5XAX-8JXU;MULTIPOLYGON (((984465.7 6372518.9,984446.3 6372528.6,984450.9 6372537.2,984459.1 6372533.1,984459.8 6372534.2,984462.4 6372532.8,984461.8 6372531.7,984469.9 6372527.5,984465.7 6372518.9)),((984474.3 6372528.7,984482.7 6372524.5,984480 6372519,984471.6 6372523.3,984474.3 6372528.7)),((984481.7 6372493.6,984474.4 6372493.6,984467.0 6372497.7,984472.1 6372506.9,984473.6 6372506.2,984478.7 6372503.4,984480.6 6372507.1,984476.5 6372509.2,984477.9 6372511.8,984479.5 6372514.7,984483.7 6372512.6,984485.2 6372515.6,984491.9 6372512.1,984488.6 6372506.1,984485.3 6372499.9,984484.6 6372500.3,984481.7 6372493.6)),((984501.5 6372495.5,984501.2 6372489.9,984501.1 6372488.9,984490.1 6372490.9,984490.9 6372495.3,984491.2 6372497.2,984501.5 6372495.5)))
bdnb-bg-1RD2-1GYH-VGQB;MULTIPOLYGON (((934501.0 6317979.3,934500.513728321 6317977.16040461,934499.9489864 6317977.25691182,934493.978183905 6317978.29091953,934494.4 6317980.4,934501.0 6317979.3)),((934501.8 6317984.9,934486.2 6317987.7,934491.3 6318017.4,934507.0 6318014.6,934501.8 6317984.9)))
bdnb-bg-1ZV4-9Z4U-156L;MULTIPOLYGON (((984322.293677138 6319239.94268514,984325.596480595 6319234.22206174,984332.202087509 6319234.22206174,984335.504890966 6319239.94268514,984332.202087509 6319245.66330853,984325.596480595 6319245.66330853,984322.293677138 6319239.94268514)))
bdnb-bg-2SUQ-13WR-V36V;MULTIPOLYGON (((937161.7 6329711.3,937167.9 6329719.6,937182.8 6329739.5,937199.1 6329727.5,937177.8 6329699.0,937165.2 6329708.7,937161.7 6329711.3)),((937203.9 6329724.5,937191.4 6329707.3,937186.6 6329710.7,937199.1 6329727.5,937203.9 6329724.5)),((937227.0 6329723.5,937218.9 6329713.2,937208.1 6329721.2,937216.0 6329731.9,937227.0 6329723.5)))
bdnb-bg-2ZE2-233Y-BHU3;MULTIPOLYGON (((932182.7 6299668.6,932187.1 6299674.2,932191.5 6299670.6,932195.8 6299667.1,932196.2 6299666.6,932199.0 6299662.6,932193.2 6299657.0,932191.2 6299654.4,932190.0 6299655.5,932187.9 6299653.2,932184.1 6299655.2,932184.5 6299656.8,932187.6 6299659.4,932184.5 6299661.9,932187.7 6299664.3,932186.6 6299665.3,932185.4 6299666.2,932184.1 6299664.9,932181.4 6299666.9,932182.7 6299668.6)))
bdnb-bg-339L-H5Z6-PNY8;MULTIPOLYGON (((935115.4 6348451.4,935116.5 6348457.5,935127.5 6348455.4,935124.4 6348443.3,935116.7 6348445.7,935114.4 6348446.5,935115.4 6348451.4)),((935140.3 6348437.6,935140.8 6348439.9,935156.3 6348436.1,935154.0 6348426.6,935121.3 6348434.7,935123.1 6348441.4,935126.2 6348440.5,935140.3 6348437.6)))
bdnb-bg-3NXS-D4PR-4QRN;MULTIPOLYGON (((973455.5 6375783.7,973456.9 6375796.8,973461.5 6375796.2,973464.6 6375798.5,973465.2 6375804.2,973466.8 6375804.0,973471.1 6375803.5,973469.9 6375793.0,973479.8 6375791.8,973479.1 6375785.5,973472.3 6375786.3,973471.8 6375778.2,973468.2 6375777.1,973468.9 6375781.8,973464.8 6375782.4,973455.5 6375783.7)))
bdnb-bg-4B39-Z492-WZKN;MULTIPOLYGON (((936006.2 6306565.1,935999.4 6306586.3,936001.5 6306587.0,935998.6 6306595.6,936002.9 6306597.1,936002.2 6306599.8,936015.6 6306604.1,936017.8 6306596.0,936029.6 6306560.4,936032.3 6306561.7,936034.419751346 6306554.78190243,936029.34698599 6306552.94768389,936019.85239929 6306549.52557541,936019.4849559 6306549.39245554,936013.256438006 6306567.58466127,936006.2 6306565.1),(936005.3 6306590.7,936011.8 6306571.8,936012.119672132 6306570.90491803,936005.0 6306591.7,936005.3 6306590.7)))
bdnb-bg-4J3S-D1UR-YJK8;MULTIPOLYGON (((939744.7 6334847.6,939746.1 6334847.5,939754.2 6334846.7,939767.6 6334845.6,939775.7 6334844.9,939777.0 6334844.8,939777.6 6334844.7,939778.4 6334847.4,939779.0 6334850.1,939779.3 6334852.5,939745.7 6334855.7,939744.7 6334847.6)))
bdnb-bg-526J-5QJP-K9S6;MULTIPOLYGON (((940521.1 6335434.6,940509.3 6335423.1,940491.4 6335441.6,940503.2 6335453.0,940506.4 6335456.1,940520.8 6335441.3,940517.6 6335438.2,940521.1 6335434.6)))
bdnb-bg-5V3Y-AM9M-DUW7;MULTIPOLYGON (((955010.1 6335795.9,955007.1 6335792.3,954999.2 6335800.1,955001.7 6335803.2,955013.5 6335818.3,955027.8 6335806.4,955022.2 6335799.6,955023.3 6335798.3,955028.8 6335793.6,955020.8 6335784.9,955015.4 6335789.7,955016.1 6335790.7,955012.7 6335793.6,955010.1 6335795.9)))
bdnb-bg-6DY9-44D3-BQVC;MULTIPOLYGON (((956728.2 6336956.9,956724.7 6336966.1,956738.4 6336971.5,956757.5 6336979.0,956759.6 6336973.0,956760.8 6336969.4,956741.9 6336962.1,956728.2 6336956.9)))
bdnb-bg-6JRM-Z979-F548;MULTIPOLYGON (((937115.9 6329762.7,937135.6 6329748.3,937124.715381979 6329733.03498692,937104.628363318 6329747.71458707,937115.9 6329762.7)))
bdnb-bg-6PKK-KSSN-VKPE;MULTIPOLYGON (((924795.1 6306172.1,924820.6 6306162.1,924797.2 6306100.8,924781.9 6306106.8,924781.9 6306127.5,924785.0 6306135.7,924787.6 6306153.3,924795.1 6306172.1)))
bdnb-bg-6S17-1MV4-2BCZ;MULTIPOLYGON (((940318.7 6335207.5,940323.2 6335221.4,940328.1 6335219.8,940323.6 6335205.9,940318.7 6335207.5)),((940368.0 6335215.4,940365.6 6335216.9,940363.4 6335213.5,940361.7 6335214.6,940366.7 6335222.6,940370.9 6335220.0,940368.0 6335215.4)))
bdnb-bg-7A1X-1JKJ-BFWD;MULTIPOLYGON (((930427.5 6313433.4,930413.3 6313419.2,930385.2 6313447.5,930382.7 6313445.0,930378.1 6313440.6,930374.4 6313444.6,930395.5 6313465.1,930427.5 6313433.4)))
bdnb-bg-7B9K-UXXD-71RG;MULTIPOLYGON (((938541.0 6330143.5,938543.4 6330145.7,938546.8 6330141.0,938532.3 6330130.0,938529.7 6330133.1,938534.5 6330137.5,938541.0 6330143.5)))
