"Column","Type","Size","Nulls","Auto","Default","Children","Parents","Comments"
"dv3f_logsoc","bool","1","√","","null","","","vaut True si le local concerné par la transaction immobilière est un logement social pour la transaction immobilière"
"dv3f_vacant","bool","1","√","","null","","","(dv3f) vaut True si le local est vacant"
"dv3f_s_bati","int4","10","√","","null","","","(dv3f) surface du bati m²"
"dv3f_s_hab","int4","10","√","","null","","","surface habitable du local concerné par la transaction immobilière m²"
"dv3f_s_dep","int4","10","√","","null","","","(dv3f) surface occupée par les dépendances m²"
"dv3f_s_pro","int4","10","√","","null","","","(dv3f) surface d’usage professionel m²"
"dv3f_nb_salle_a_mange","int4","10","√","","null","","","nombre de salle à manger du local concerné par la transaction immobilière"
"dv3f_nb_chambre","int4","10","√","","null","","","nombre de chambre du local concerné par la transaction immobilière"
"dv3f_nb_kitchenette","int4","10","√","","null","","","nombre de cuisines dont la surface est inférieure ou égale à 8m² du local concerné par la transaction immobilière"
"dv3f_nb_cuisine","int4","10","√","","null","","","nombre de cuisine dont la surface est supérieure ou égale à 9m² du local concerné par la transaction immobilière"
"dv3f_nb_salle_d_eau","int4","10","√","","null","","","nombre de salle d’eau du local concerné par la transaction immobilière"
"dv3f_nb_annexe","int4","10","√","","null","","","nombre de pièces annexes du local concerné par la transaction immobilière"
"dv3f_nb_piece_principale","int4","10","√","","null","","","Nombre de pièces principales de la résidence individuelle ou collective ayant muté. Cet indicateur est disponible lorsqu’une unique résidence individuelle ou collective a mutée."
"dv3f_nb_dep","int4","10","√","","null","","","nombre de dépendances du local concerné par la transaction immobilière"
"dv3f_nb_garage","int4","10","√","","null","","","nombre de garage du local concerné par la transaction immobilière"
"dv3f_nb_agrement","int4","10","√","","null","","","nombre de partie d’agréement du local concerné par la transaction immobilière"
"dv3f_nb_terrasse","int4","10","√","","null","","","(ffo) Nombre de terrasses (incorporées + annexes non incorporées)"
"dv3f_nb_piscine","int4","10","√","","null","","","nombre de piscine du local concerné par la transaction immobilière"
"dv3f_nb_cave_cellier_remise","int4","10","√","","null","","","nombre de pièce de type cave, grenier, cellier, remise du local concerné par la transaction immobilière"
"dv3f_annee_constr","text","2147483647","√","","null","","","année de construction du local concerné par la transaction immobilière"
"dv3f_etage","text","2147483647","√","","null","","","étage (R+1 = 1) du local concerné par la transaction immobilière"
"dv3f_valeur_loc","int8","19","√","","null","","","(dv3f) valeur locative estimée du local €"
"dv3f_valeur_fonciere_par_m2_hab","int8","19","√","","null","","","(dv3f) valeur foncière du local par m² habitable €/m²"
"dv3f_valeur_fonciere_par_m2_bati","int8","19","√","","null","","","(dv3f) valeur foncière du local par m² de bati €/m²"
"dv3f_valeur_fonciere_par_m2_terrain","int8","19","√","","null","","","(dv3f) valeur foncière du local par m² de terrain €/m²"
"dv3f_valeur_fonciere_brute","int8","19","√","","null","","","(dv3f) valeur foncière totale de la mutation €"
"dv3f_s_hab_mutation","int8","19","√","","null","","","(dv3f) surface habitable totale comprise dans la mutation m²"
"dv3f_s_bati_mutation","int8","19","√","","null","","","(dv3f) surface de bati totale comprise dans la mutation m²"
"dv3f_s_terrain_mutation","int8","19","√","","null","","","(dv3f) surface de terrain totale comprise dans la mutation m²"
"dv3f_date_mutation","date","13","√","","null","","","date de la mutation pour la transaction immobilière"
"dvf_open_id_opendata","varchar","60","√","","null","","","Identifiant open data de la mutation."
"dvf_open_valeur_fonciere","numeric","0","√","","null","","","Valeur foncière en euros de la mutation représentative. €"
"dvf_open_date_mutation","date","13","√","","null","","","date de la mutation pour la transaction immobilière"
"dvf_open_nb_locaux_mutee_mutation","int4","10","√","","null","","","Nombre de locaux ayant mutés lors de la mutation représentative."
"dvf_open_nb_maison_mutee_mutation","int4","10","√","","null","","","Nombre de maisons ayant mutées lors de la mutation représentative."
"dvf_open_nb_appartement_mutee_mutation","int4","10","√","","null","","","Nombre d’appartements ayant mutés lors de la mutation représentative."
"dvf_open_nb_dependance_mutee_mutation","int4","10","√","","null","","","Nombre de dépendances ayant mutées lors de la mutation représentative."
"dvf_open_nb_locaux_tertiaire_mutee_mutation","int4","10","√","","null","","","Nombre de locaux tertiaires ayant mutés lors de la mutation représentative."
"dvf_open_surface_bati_mutee_residencielle_individuelle","numeric","0","√","","null","","","Surface de bâti associée à des résidences individuelles ayant mutées lors de la mutation représentative m²."
"dvf_open_surface_bati_mutee_residencielle_collective","numeric","0","√","","null","","","Surface de bâti associée à des résidences collectives ayant mutées lors de la mutation représentative m²."
"dvf_open_surface_bati_mutee_dependance","numeric","0","√","","null","","","Surface de bâti associée à des dépendances ayant mutées lors de la mutation représentative m²."
"dvf_open_surface_bati_mutee_tertiaire","numeric","0","√","","null","","","Surface de bâti associée à du tertiaire ayant mutées lors de la mutation représentative m²."
"dvf_open_surface_terrain_mutee","numeric","0","√","","null","","","Surface de terrain ayant muté lors de la mutation représentative m²."
"dvf_open_nb_piece_principale","int4","10","√","","null","","","Nombre de pièces principales de la résidence individuelle ou collective ayant muté. Cet indicateur est disponible lorsqu’une unique résidence individuelle ou collective a mutée."
"dvf_open_prix_m2_local","numeric","0","√","","null","","","Prix au m² de bâti en euros lors de la mutation. Cet indicateur n’est disponible que pour des transactions dont uniquement les locaux (résidences individuelles + dépendances) ou (résidences collectives + dépendances) ont mutées €"
"dvf_open_prix_m2_terrain","numeric","0","√","","null","","","Prix au m² du terrain en euros lors de la mutation. Cet indicateur n’est disponible que pour des transactions dont uniquement les locaux (résidences individuelles + dépendances) ou (résidences collectives + dépendances) ont mutées €"
"dvf_open_nb_mutation","int4","10","√","","null","","","Nombre de mutations qui ont eu lieu sur le batiment_groupe (sur la période de référence des DVF)."
"dvf_open_valeur_fonciere_median","numeric","0","√","","null","","","Valeur foncière médiane en euros calculée sur l’ensemble des mutations qui ont eu lieu sur le batiment_groupe."
"dvf_open_valeur_fonciere_moyenne","numeric","0","√","","null","","","Valeur foncière moyenne en euros calculée sur l’ensemble des mutations qui ont eu lieu sur le batiment_groupe."
"dvf_open_valeur_fonciere_max","numeric","0","√","","null","","","(dv3f) valeur foncière maximale parmi les locaux du bâtiment rapporté au m² habitable (SHAB)€/m²"
"dvf_open_valeur_fonciere_min","numeric","0","√","","null","","","(dv3f) valeur foncière minimale parmi les locaux du bâtiment rapporté au m² habitable (SHAB) €/m²"
"dvf_open_prix_m2_local_median","numeric","0","√","","null","","","Prix médian au m2 de bâti en euros calculé à partir des transactions dont uniquement des locaux (résidences individuelles + dépendances) ou (résidences collectives + dépendances) ont mutées"
"dvf_open_prix_m2_local_moyen","numeric","0","√","","null","","","Prix moyen au m2 de bâti en euros calculé à partir des transactions dont uniquement des locaux (résidences individuelles + dépendances) ou (résidences collectives + dépendances) ont mutées"
"dvf_open_prix_m2_local_max","numeric","0","√","","null","","","Prix maximale au m2 de bâti en euros calculé à partir des transactions dont uniquement des locaux (résidences individuelles + dépendances) ou (résidences collectives + dépendances) ont mutées"
"dvf_open_prix_m2_local_min","numeric","0","√","","null","","","Prix minimale au m2 de bâti en euros calculé à partir des transactions dont uniquement des locaux (résidences individuelles + dépendances) ou (résidences collectives + dépendances) ont mutées"
"dvf_open_prix_m2_terrain_median","numeric","0","√","","null","","","Prix médian au m2 de terrain en euros calculé à partir des transactions dont uniquement des locaux (résidences individuelles + dépendances) ou (résidences collectives + dépendances) ont mutées"
"dvf_open_prix_m2_terrain_moyen","numeric","0","√","","null","","","Prix moyen au m2 de terrain en euros calculé à partir des transactions dont uniquement des locaux (résidences individuelles + dépendances) ou (résidences collectives + dépendances) ont mutées"
"dvf_open_prix_m2_terrain_max","numeric","0","√","","null","","","Prix maximale au m2 de terrain en euros calculé à partir des transactions dont uniquement des locaux (résidences individuelles + dépendances) ou (résidences collectives + dépendances) ont mutées"
"dvf_open_prix_m2_terrain_min","numeric","0","√","","null","","","Prix minimale au m2 de terrain en euros calculé à partir des transactions dont uniquement des locaux (résidences individuelles + dépendances) ou (résidences collectives + dépendances) ont mutées"
"dvf_open_nb_locaux_mutee","int4","10","√","","null","","","Nombre de locaux qui ont mutés sur le batiment_groupe (sur la période de référence des DVF)."
"dvf_open_nb_maisons_mutee","int4","10","√","","null","","","Nombre de maisons qui ont mutées sur le batiment_groupe (sur la période de référence des DVF)."
"dvf_open_nb_appartement_mutee","int4","10","√","","null","","","Nombre d’appartements qui ont mutés sur le batiment_groupe (sur la période de référence des DVF)."
"dvf_open_nb_dependance_mutee","int4","10","√","","null","","","Nombre de dépendances qui ont mutées sur le batiment_groupe (sur la période de référence des DVF)."
"dvf_open_nb_locaux_tertiaire_mutee","int4","10","√","","null","","","Nombre de locaux tertiaires qui ont mutés sur le batiment_groupe (sur la période de référence des DVF)."
"l_denomination_bailleur_social","_text","2147483647","√","","null","","","Cette information est renseignée pour les bailleurs sociaux en partie à partir des Fichiers fonciers (2019)"
"exposition_bruit","bool","1","√","","null","","","Si le bâtiment est considéré comme sensible et exposé au moins à une source d’origine routière ou ferroviaire ou aéroportuaire (SRC_Rte, SRC_Fer, SRC_Aero ) alors ce champ prend la valeur True"
"exposition_bruit_routier_et_ou_ferroviaire","bool","1","√","","null","","","Si le bâtiment est considéré comme sensible et exposé au moins à une source d’origine routière ou ferroviaire (SRC_Rte, SRC_Fer) alors ce champ prend la valeur True"
"zone_prioritaire_bruit","bool","1","√","","null","","","Ce champ prend la valeur « vrai », si au moins un bâtiment du bâtiment groupe est sensible de se trouver dans au moins une des situations suivantes (1) situe dans une carte C de la directive européenne Bruit (2) le bâtiment se situe dans un Plan de Gêne Sonore des aéroports (PGS)"
"exposition_bruit_routier","bool","1","√","","null","","","Origine routière de la source de bruit"
"exposition_bruit_ferroviaire","bool","1","√","","null","","","Origine ferroviaire de la source de bruit"
"exposition_bruit_aeroport","bool","1","√","","null","","","Origine aéroportuaire de la source de bruit"
"nb_logement_social","float8","17,17","√","","null","","","Nombre de logements sociaux retenu pour le calcul de l’exposition (il correspond à la répartition homogène des logements sociaux associés à la parcelle sur l’ensemble des bâtiments contenus, en fonction de leur volumétrie)"
"nb_logement_social_expose_bruit","float8","17,17","√","","null","","","somme du nombre de logements sociaux retenues quand exposition_bruit = True et pour l’exposition au bruit routière et/ou ferroviaire et/ou aéroport"
"nb_logement_social_expose_bruit_rte_et_ou_fer","float8","17,17","√","","null","","","somme du nombre de logements sociaux retenues quand exposition_bruit = True et pour l’exposition au bruit routière et/ou ferroviaire"
"nb_logement_social_zone_prioritaire_bruit","float8","17,17","√","","null","","","somme du nombre de logements sociaux retenues quand priorité = True"
"nb_logement_social_expose_routier","float8","17,17","√","","null","","","somme du nombre de logements sociaux retenues quand src_rte = True and exbruit = True"
"nb_logement_social_expose_ferroviaire","float8","17,17","√","","null","","","somme du nombre de logements sociaux retenues quand src_fer = True and exbruit = True"
"nb_logement_social_expose_aeroport","float8","17,17","√","","null","","","somme du nombre de logements sociaux retenues quand src_aero = True and exbruit = True"
"type_exposition_bruit","text","2147483647","√","","null","","","type d’exposition au bruit - src_x = True and exbruit = True"
"type_exposition_bruit_routier_et_ou_ferroviaire","text","2147483647","√","","null","","","type d’exposition au bruit - simplification pour montrer en préférence exposition routière et ferroviaire"
"type_exposition_bruit_simplifie","text","2147483647","√","","null","","","type d’exposition au bruit - src_x = True and exbruit = True (priorité (1)route, (2)ferroviaire, (3)aeroport)"
"ffo_bat_emprise_sol_deduite_sans_park_incorp","int4","10","√","","null","","","Emprise au sol déduite du bâtiment (les dépendances incorporées et non incorporées sont excluses de cette grandeur), utilisée dans la méthodologie d’appariement des entrées bâtiments FF-BDTopo m²"
"ffo_bat_presence_ch_central","bool","1","√","","null","","","(ffo) Présence d’une installation centralisée de chauffage"
"ffo_bat_raccord_eau","bool","1","√","","null","","","(ffo) Présence d’un raccordement à l’eau"
"ffo_bat_raccord_egout","bool","1","√","","null","","","(ffo) Présence d’un raccordement à un tout-à-l’égout"
"ffo_bat_raccord_elec","bool","1","√","","null","","","(ffo) Présence d’un raccordement à l’électricité"
"ffo_bat_l_loc_sec_txt","_text","2147483647","√","","null","","","liste des usages des locaux secondaires (traitement CSTB de la variable cconlc)"
"ffo_bat_l_pev_etat_entretien","_text","2147483647","√","","null","","","(ffo) Etat d’entretien des parties d’évaluation"
"ffo_bat_mat_mur","text","2147483647","√","","null","","","(ffo) indicateur Matériau principal des murs extérieurs"
"ffo_bat_mat_toit","text","2147483647","√","","null","","","(ffo) indicateur Matériau principal des toitures"
"ffo_bat_nb_adresse","int4","10","√","","null","","","Nombre d’adresses"
"ffo_bat_nb_baignoire","int4","10","√","","null","","","(ffo) Nombre de baignoire"
"ffo_bat_nb_douche","int4","10","√","","null","","","(ffo) Nombre de douche"
"ffo_bat_nb_niveau","int4","10","√","","null","","","(ffo) Nombre de niveau du bâtiment (ex: RDC = 1, R+1 = 2, etc..)"
"ffo_bat_nb_lavabo","int4","10","√","","null","","","(ffo) Nombre de lavabo"
"ffo_bat_nb_loc_burx","int4","10","√","","null","","","(ffo) Nombre de locaux présentant au moins un bureau déclaré"
"ffo_bat_nb_loc_com_sec","int4","10","√","","null","","","(ffo) Nombre de locaux d’activité secondaire"
"ffo_bat_nb_loc_com_ter","int4","10","√","","null","","","(ffo) Nombre de locaux d’activité tertiaire (commercial, bureau, etc.)"
"ffo_bat_nb_loc_hab","int4","10","√","","null","","","(ffo) Nombre de locaux d’habitation"
"ffo_bat_nb_log_loue","int4","10","√","","null","","","(ffo) Nombre de logements loués avec un bail classique"
"ffo_bat_nb_log_loue_meuble","int4","10","√","","null","","","(ffo) Nombre de logements loués meublés"
"ffo_bat_nb_log_loue_autre","int4","10","√","","null","","","(ffo) Nombre de logements loués à titre gratuit ou en bail rural"
"ffo_bat_nb_log_occ_prop","int4","10","√","","null","","","(ffo) Nombre de logements d’habitation occupés par le propriétaire"
"ffo_bat_nb_log_pevph","int4","10","√","","null","","","(ffo) Nombre de parties principales d’habitation dans les PEV"
"ffo_bat_nb_pev_pro","int4","10","√","","null","","","(ffo) Nombre de parties d’évaluation de type professionnel"
"ffo_bat_nb_piece_annexe","int4","10","√","","null","","","(ffo) Nombre de pièces annexes"
"ffo_bat_nb_piece_tx","int4","10","√","","null","","","(ffo) Nombre de pièces principales"
"ffo_bat_nb_piscine","int4","10","√","","null","","","nombre de piscine du local concerné par la transaction immobilière"
"ffo_bat_nb_sdb","int4","10","√","","null","","","(ffo) Nombre de salles d’eau"
"ffo_bat_nb_wc","int4","10","√","","null","","","(ffo) Nombre de WC"
"ffo_bat_s_dep_non_incorp","int4","10","√","","null","","","(ffo) Surface totale des dépendances (non intégrées au local) sur la parcelle (Utilisation de l’attribut dsudep, nul si npevd nul) m²"
"ffo_bat_s_loc_appt","int4","10","√","","null","","","(ffo) Somme des surfaces de locaux de type “appartement” m²"
"ffo_bat_s_loc_com","int4","10","√","","null","","","(ffo) Somme des surfaces de locaux de type commercial ou industriel m²"
"ffo_bat_s_loc_dep_incorp","int4","10","√","","null","","","(ffo) Somme des surfaces de locaux de type dépendance incorporés à des locaux m²"
"ffo_bat_s_loc_dep_non_incorp","int4","10","√","","null","","","(ffo) Somme des surfaces de locaux de type dépendance incorporés à la pev m²"
"ffo_bat_s_loc_hors_sol_avec_dep","int4","10","√","","null","","","Somme des surfaces de locaux, dépendances non inporporées incluses, par niveau en surface m²"
"ffo_bat_s_loc_hors_sol_non_dep_inc","int4","10","√","","null","","","Somme des surfaces de locaux, dépendances inporporées et non incorporées non incluses, par niveau en surface m²"
"ffo_bat_s_loc_hors_sol_non_dep","int4","10","√","","null","","","Somme des surfaces de locaux, dépendances non inporporées, par niveau en surface m²"
"ffo_bat_s_loc_mi","int4","10","√","","null","","","(ffo) Somme des surfaces de locaux de type “maison” m²"
"ffo_bat_s_loc_pro_princetdepcouv","int4","10","√","","null","","","(ffo) Surface des parties principales et secondaires couvertes du local professionnel m²"
"ffo_bat_s_log_hlm","int4","10","√","","null","","","(ffo) Surface de locaux de type social m²"
"ffo_bat_s_log_sem","int4","10","√","","null","","","(ffo) Surface de locaux de type logement SEM m²"
"ffo_bat_s_max_hors_sol_avec_dep","int4","10","√","","null","","","Maximum des surfaces de locaux, dépendances non incorporées incluses, par niveau en surface m²"
"ffo_bat_s_max_hors_sol_non_dep_inc","int4","10","√","","null","","","Maximum des surfaces de locaux, dépendances non incorporées non incluses, par niveau en surface m²"
"ffo_bat_s_max_hors_sol_non_dep","int4","10","√","","null","","","Maximum des surfaces de locaux, dépendances incorporées et non incorporées non incluses, par niveau en surface m²"
"ffo_bat_s_pev_dep","int4","10","√","","null","","","(ffo) Somme des surfaces de dépendance du bâtiment, calculé à partir des surfaces dsudep définies à l’échelle de la table pb60_pevdependance m²"
"ffo_bat_s_pev_pro","int4","10","√","","null","","","(ffo) Somme des surfaces de parties principales des PEV professionnelles du bâtiment, calculé à partir des surfaces dsup1 définies à l’échelle de la table pb50_pevprofessionnelle m²"
"ffo_bat_annee_construction","int4","10","√","","null","","","Année de construction du bâtiment"
"ffo_bat_emprise_sol_deduite","int4","10","√","","null","","","Emprise au sol déduite (brute), utilisée dans la méthodologie d’appariement des entrées bâtiments FF-BDTopo m²"
"ffo_bat_presence_ascenseur","bool","1","√","","null","","","(ffo) Présence d’ascenseur"
"ffo_bat_presence_bureau","bool","1","√","","null","","","(ffo) Présence de bureau"
"ffo_bat_presence_escalier","bool","1","√","","null","","","(ffo) Présence d’un escalier"
"ffo_bat_raccord_gaz","bool","1","√","","null","","","(ffo) Présence d’un raccordement au gaz"
"ffo_bat_presence_sous_sol","bool","1","√","","null","","","(ffo) Tous les locaux sont localisés en sous-sol"
"ffo_bat_presence_videordure","bool","1","√","","null","","","(ffo) Présence d’un système de vide-ordure"
"ffo_bat_usage_principal","text","2147483647","√","","null","","","Usage principal du bâtiment déterminé à partir des nombres de locaux par catégorie (DEPRECATED)"
"ffo_bat_usage_niveau_1","int4","10","√","","null","","","indicateur d’usage simplifié du batiment"
"ffo_bat_usage_niveau_1_txt","text","2147483647","√","","null","","","indicateurs d’usage simplifié du bâtiment (verbose)"
"ffo_bat_usage_niveau_2","int4","10","√","","null","","","indicateur d’usage un peu plus précis du batiment"
"ffo_bat_usage_niveau_2_txt","text","2147483647","√","","null","","","indicateur d’usage un peu plus précis du bâtiment (verbose)"
"ffo_bat_usage_niveau_3","int4","10","√","","null","","","indicateur d’usage précis du bâtiment"
"ffo_bat_usage_niveau_3_txt","text","2147483647","√","","null","","","indicateur d’usage précis du bâtiment (verbose)"
"ffo_bat_l_usage_niveau_1","_int4","10","√","","null","","","indicateur d’usage simplifié du batiment"
"ffo_bat_l_usage_niveau_1_txt","text","2147483647","√","","null","","","indicateurs d’usage simplifié du bâtiment (verbose)"
"ffo_bat_l_usage_niveau_2","_int4","10","√","","null","","","indicateur d’usage un peu plus précis du batiment"
"ffo_bat_l_usage_niveau_2_txt","text","2147483647","√","","null","","","indicateur d’usage un peu plus précis du bâtiment (verbose)"
"ffo_bat_l_usage_niveau_3","_int4","10","√","","null","","","indicateur d’usage précis du bâtiment"
"ffo_bat_l_usage_niveau_3_txt","text","2147483647","√","","null","","","indicateur d’usage précis du bâtiment (verbose)"
"ffo_bat_l_usage_mixite","_text","2147483647","√","","null","","","mixité des usages du batiment"
"ffo_bat_usage_mixite_global","text","2147483647","√","","null","","","mixité des usages du bâtiment simplifiée"
"ffo_bat_l_loc_dep_incorp","_text","2147483647","√","","null","","","liste des dépendances intégrées au bâtiment (traitement cstb des variables cconad : 1,2,3,4)"
"ffo_bat_l_loc_dep_non_incorp","_text","2147483647","√","","null","","","liste des dépendances non intégrées au bâtiment (traitement cstb de la variable cconad)"
"ffo_bat_l_loc_sec","_text","2147483647","√","","null","","","liste des usages des locaux secondaires (traitement cstb de la variable cconlc)"
"ffo_bat_l_loc_ter","_text","2147483647","√","","null","","","liste des usages des locaux tertiaire (traitement cstb des variables cconlc et typeact)"
"ffo_bat_l_code_naf","_text","2147483647","√","","null","","","(ffo) Liste des codes NAF"
"ffo_bat_l_code_naf_txt","_text","2147483647","√","","null","","","(ffo) Liste des libellés des codes NAF"
"ffo_bat_mat_mur_txt","text","2147483647","√","","null","","","(ffo) Matériaux principal des murs extérieurs"
"ffo_bat_mat_toit_txt","text","2147483647","√","","null","","","(ffo) Matériau principal des toitures"
"ffo_bat_nb_cave_dep_incorp","int4","10","√","","null","","","(ffo) Nombre de cave, comptées comme dépendances incorporées"
"ffo_bat_nb_garage_dep_incorp","int4","10","√","","null","","","(ffo) Nombre de garage, comptées comme dépendances incorporées"
"ffo_bat_nb_garpark","int4","10","√","","null","","","(ffo) Nombre de pièces annexes de type garages / parking"
"ffo_bat_nb_grenier_dep_incorp","int4","10","√","","null","","","(ffo) Nombre de greniers, comptées comme dépendances incorporées"
"ffo_bat_nb_loc","int4","10","√","","null","","","(ffo) Nombre de locaux nlocal"
"ffo_bat_nb_loc_appt","int4","10","√","","null","","","(ffo) Nombre de locaux de type appartement (nlocappt)"
"ffo_bat_nb_loc_com","int4","10","√","","null","","","(ffo) Nombre de locaux d’activité commerciale ou industrielle (nloccom)"
"ffo_bat_nb_loc_com_rdc","int4","10","√","","null","","","(ffo) Nombre de locaux d’activité secondaire ou tertiaire situés au rez de chaussée (Utilisation de nloccomrdc, l’attribut dteloc=4 et dniv=00)"
"ffo_bat_nb_loc_dep","int4","10","√","","null","","","(ffo) Nombre de locaux de type dépendances"
"ffo_bat_nb_loc_dep_incorp","int4","10","√","","null","","","(ffo) Nombre de dépendances incorporées dans un local de type autre (nlocdep)"
"ffo_bat_nb_loc_dep_non_incorp","int4","10","√","","null","","","(ffo) Nombre de dépendances (non intégrées au local) sur la parcelle (Source article 60 (pb60))"
"ffo_bat_nb_loc_maison","int4","10","√","","null","","","(ffo) Nombre de locaux de type maison (nlocmaison)"
"ffo_bat_nb_log","int4","10","√","","null","","","Nombre de logements dans le groupe de bâtiments"
"ffo_bat_nb_log_residence_principale","int4","10","√","","null","","","(ffo:logh/proba_rprs) Nombre de logements d’habitation (Utilisation du champ logh) estimés être de la résidence principale"
"ffo_bat_nb_log_residence_secondaire","int4","10","√","","null","","","(ffo:logh/proba_rprs) Nombre de logements d’habitation (Utilisation du champ logh) estimés être de la résidence secondaire"
"ffo_bat_nb_log_hlm","int4","10","√","","null","","","(ffo) Nombre de locaux de type logement HLM (utilisation des attributs loc.logh = ‘t’ AND loc.hlmsem = ‘5’)"
"ffo_bat_nb_log_sem","int4","10","√","","null","","","(ffo) Nombre de locaux de type logement SEM (utilisation des attributs loc.logh = ‘t’ AND loc.hlmsem = ‘6’)"
"ffo_bat_nb_log_soc","int4","10","√","","null","","","(ffo) Nombre de locaux de type logement sociaux, (utilisation des attributs loc.logh = ‘t’ AND loc.hlmsem = (‘5’,‘6’))"
"ffo_bat_nb_log_vac","int4","10","√","","null","","","(ffo) Nombre de logements d’habitation vacants (Somme du champ nloghvac)"
"ffo_bat_nb_piece_principale","int4","10","√","","null","","","Nombre de pièces principales de la résidence individuelle ou collective ayant muté. Cet indicateur est disponible lorsqu’une unique résidence individuelle ou collective a mutée."
"ffo_bat_nb_terrasse","int4","10","√","","null","","","(ffo) Nombre de terrasses (incorporées + annexes non incorporées)"
"ffo_bat_nb_terrasse_dep_incorp","int4","10","√","","null","","","(ffo) Nombre de dépendance incorporée de type “terrasse”"
"ffo_bat_s_cave_dep_incorp","int4","10","√","","null","","","(ffo) Surface réelle de l’élément incorporé (caves) m²"
"ffo_bat_s_dep_incorp","int4","10","√","","null","","","(ffo) Surface totale des éléments incorporés en m² (dsueic1+dsueic2+dsueic3+dsueic4) m²"
"ffo_bat_s_garage_dep_incorp","int4","10","√","","null","","","(ffo) Surface réelle de l’élément incorporé (garages) m²"
"ffo_bat_s_grenier_dep_incorp","int4","10","√","","null","","","(ffo) Surface réelle de l’élément incorporé (greniers) m²"
"ffo_bat_s_loc_com_rdc","int4","10","√","","null","","","(ffo) Somme des surfaces de locaux de type commercial ou industriel au rdc m²"
"ffo_bat_s_loc_com_sec","int4","10","√","","null","","","(ffo) Somme des surfaces de locaux de type “industriel” m²"
"ffo_bat_s_loc_com_ter","int4","10","√","","null","","","(ffo) Somme des surfaces de locaux de type “commercial” m²"
"ffo_bat_s_loc_dep","int4","10","√","","null","","","(ffo) Somme des surfaces de locaux de type dépendance m²"
"ffo_bat_s_loc_pro_tot","int4","10","√","","null","","","(ffo) Somme des surfaces des parties principales, secondaires couvertes ou non, stationnements couverts ou non (sprobati) m²"
"ffo_bat_s_loc_tot","int4","10","√","","null","","","(ffo) Somme de stoth, stotdsueic, stotd, sprincp, ssecp, sparkp, sparkncp (slocal) m²"
"ffo_bat_s_log","int4","10","√","","null","","","(ffo) Surface totale des pièces d’habitation (en m²) (Utilisation de l’attribut dsupdc, nul si npevph nul) m²"
"ffo_bat_s_log_residence_principale","int4","10","√","","null","","","(ffo) Surface totale des pièces d’habitation (Utilisation de l’attribut dsupdc, nul si npevph nul) des logements considérées comme des résidences principales m²"
"ffo_bat_s_log_residence_secondaire","int4","10","√","","null","","","(ffo) Surface totale des pièces d’habitation (Utilisation de l’attribut dsupdc, nul si npevph nul) des logements considérées comme des résidences secondaires m²"
"ffo_bat_s_log_soc","int4","10","√","","null","","","(ffo) Surface de locaux de type logement sociaux, version étendue (loc.logh = t AND loc.catpro2 = F1) m²"
"ffo_bat_s_terrasse_dep_incorp","int4","10","√","","null","","","(ffo) Surface réelle de l’élément incorporé (terrasses) m²"
"hthd_nb_pdl","numeric","17,3","√","","null","","","(hthd) Nombre total de PDL Arcep"
"hthd_l_type_pdl","_text","2147483647","√","","null","","","(hthd) Liste de type de bâtiment desservis par les PDL"
"hthd_l_nom_pdl","_text","2147483647","√","","null","","","(hthd) Liste des noms des points de livraisons centraux"
"ffo_loc_locaux_immeuble_dict","json","2147483647","√","","null","","","(ffo) locaux rattachés au batiment_groupe. Ceci est utile pour adjoindre ces données aux données d’entrée du pipeline de simulation sur le modèle de wall_dict.NE CONTIENT QUE LES LOCAUX DES IMMEUBLES COLLECTIFS D’HABITATION. le json stocké est une liste de locaux avec les valeurs ordonnées suivantes idlocal,idbat,loctype,dniv,s_loc_pro_hors_parking,stoth"""
"merimee_distance_batiment_historique_plus_proche","int2","5","√","","null","","","(mer) Distance au bâtiment historique le plus proche (si moins de 500m) m"
"merimee_nom_batiment_historique_plus_proche","text","2147483647","√","","null","","","(mer:tico) nom du bâtiment historique le plus proche"
"osm_building_l_fclass","_text","2147483647","√","","null","","",""
"osm_building_l_name","_text","2147483647","√","","null","","",""
"pie_l_usage_principal","_text","2147483647","√","","null","","","Liste des usages principaux définis dans la base du PIE"
"pie_l_usage_principal_detaille","_text","2147483647","√","","null","","","Liste des usages principaux détaillés définis dans la base du PIE"
"pie_erp","bool","1","√","","null","","","Le bâtiment est-il considéré comme pouvant recevoir du public ?"
"pie_l_designation_site","_text","2147483647","√","","null","","","Liste des désignation du site"
"pie_l_designation_batiment_terrain","_text","2147483647","√","","null","","","Liste des désignation des bâtiments"
"pie_l_occupant","_text","2147483647","√","","null","","","Liste des occupants"
"pie_l_ministere","_text","2147483647","√","","null","","","Listes des ministères affiliés"
"pie_l_libelle_occupant","_text","2147483647","√","","null","","","Liste des libéllés des occupants"
"pie_l_proprietaire","_text","2147483647","√","","null","","","Liste des propriétaires (abbrégés)"
"pie_l_libelle_proprietaire","_text","2147483647","√","","null","","","Liste des propriétaires (explicite)"
"pie_surface","numeric","0","√","","null","","","Estimation de la surface du bâtiment m²"
"pie_annee_construction","int4","10","√","","null","","","Année de construction du bâtiment"
"pie_etat_de_sante_minimal","varchar","17","√","","null","","","Etat de santé du bâtiment"
"pie_tri_dechets","bool","1","√","","null","","","Le bâtiment fait-il le tri des déchets"
"qpv_nom_quartier","text","2147483647","√","","null","","","Nom du quartier prioritaire dans lequel se trouve le bâtiment"
