"Column","Type","Size","Nulls","Auto","Default","Children","Parents","Comments"
"dpe_mix_arrete_conso_5_usages_ep_m2","numeric","0","√","","null","","","consommation annuelle 5 usages (ecs/chauffage/climatisation/eclairage/auxiliaires) en énergie primaire (déduit de la production pv autoconsommée) (kWhep/m²/an). valable uniquement pour les DPE appliquant la méthode de l’arrêté du 31 mars 2021 (en vigueur actuellement)"
"dpe_mix_arrete_conso_5_usages_ef_m2","numeric","0","√","","null","","","consommation annuelle 5 usages (ecs/chauffage/climatisation/eclairage/auxiliaires)en énergie finale (déduit de la production pv autoconsommée) (kWhef/m²/an). valable uniquement pour les DPE appliquant la méthode de l’arrêté du 31 mars 2021 (en vigueur actuellement)"
"dpe_mix_arrete_emission_ges_5_usages_m2","numeric","0","√","","null","","","emission GES totale 5 usages rapportée au m² (déduit de la production pv autoconsommée) (ecs/chauffage/climatisation/eclairage/auxiliaires)(kgCO2/m2/an). valable uniquement pour les DPE appliquant la méthode de l’arrêté du 31 mars 2021 (en vigueur actuellement)"
"dpe_mix_arrete_classe_bilan_dpe","text","2147483647","√","","null","","","Classe du DPE issu de la synthèse du double seuil sur les consommations énergie primaire et les émissions de CO2 sur les 5 usages (ecs/chauffage/climatisation/eclairage/auxiliaires).  valable uniquement pour les DPE appliquant la méthode de l’arrêté du 31 mars 2021 (en vigueur actuellement)"
"dpe_mix_arrete_classe_emission_ges","text","2147483647","√","","null","","","classe d’émission GES du DPE 5 usages (chauffage, ECS, climatisation, éclairage et auxiliaires). valable uniquement pour les DPE appliquant la méthode de l’arrêté du 31 mars 2021 (en vigueur actuellement)"
"dpe_mix_arrete_classe_conso_energie_arrete_2012","text","2147483647","√","","null","","","classe d’émission GES du DPE 3 usages (Chauffage, ECS, Climatisation). Valable uniquement pour les DPE appliquant la méthode de l’arrêté du 8 février 2012"
"dpe_mix_arrete_classe_emission_ges_arrete_2012","text","2147483647","√","","null","","","classe d’emission GES du DPE 3 usages (Chauffage, ECS , Climatisation). valable uniquement pour les DPE appliquant la méthode de l’arrêté du 8 février 2012"
"dpe_mix_arrete_conso_3_usages_ep_m2_arrete_2012","numeric","0","√","","null","","","consommation annuelle 3 usages énergie primaire rapportée au m2 (Chauffage, ECS , Climatisation). valable uniquement pour les DPE appliquant la méthode de l’arrêté du 8 février 2012"
"dpe_mix_arrete_emission_ges_3_usages_ep_m2_arrete_2012","numeric","0","√","","null","","","emission GES totale 3 usages énergie primaire rapportée au m2 (Chauffage, ECS , Climatisation). valable uniquement pour les DPE appliquant la méthode de l’arrêté du 8 février 2012 (kgCO2/m2/an)."
"dpe_mix_arrete_type_installation_chauffage","text","2147483647","√","","null","","","type d’installation de chauffage (collectif ou individuel)"
"dpe_mix_arrete_type_energie_chauffage","text","2147483647","√","","null","","","type d’énergie pour le générateur de chauffage principal"
"dpe_mix_arrete_type_generateur_chauffage","text","2147483647","√","","null","","","type de générateur de chauffage principal"
"dpe_mix_arrete_type_generateur_chauffage_anciennete","text","2147483647","√","","null","","","ancienneté du générateur de chauffage principal"
"dpe_mix_arrete_type_energie_chauffage_appoint","text","2147483647","√","","null","","","type d’énergie pour le générateur de chauffage d’appoint"
"dpe_mix_arrete_type_generateur_chauffage_appoint","text","2147483647","√","","null","","","type de générateur de chauffage d’appoint"
"dpe_mix_arrete_type_generateur_chauffage_anciennete_appoint","text","2147483647","√","","null","","","ancienneté du générateur de chauffage d’appoint"
"dpe_mix_arrete_chauffage_solaire","bool","1","√","","null","","","présence de chauffage solaire"
"dpe_mix_arrete_nb_generateur_chauffage","int2","5","√","","null","","","nombre de générateurs de chauffage"
"dpe_mix_arrete_nb_installation_chauffage","int2","5","√","","null","","","nombre d’installation de chauffage"
